Erfurt Airport (ERF), Germany
Frankfurt am Main Airport (FRA), Germany
Düsseldorf Airport (DUS), Germany
Allendorf/Eder Airport (EDFQ), Germany
Bielefeld Airport (BFE), Germany
Eggenfelden Airport (EDME), Germany
Oberpfaffenhofen Airport (OBF), Germany
Vilshofen Airport (EDMV), Germany
Friedrichshafen Airport (FDH), Germany
Burg Feuerstein Airport (URD), Germany
Hof-Plauen Airport (HOQ), Germany
Haßfurt-Schweinfurt Airport (EDQT), Germany
Freiburg i. Br. Airport (EDTF), Germany
Flensburg-Schäferhaus Airport (FLF), Germany
Fritzlar Airport (FRZ), Germany
Fassberg Air Base (ETHS), Germany
Grafenwohr Army Air Field (ETIC), Germany
Hohenfels Army Air Field (ETIH), Germany
Wittmundhafen Airport (ETNT), Germany
Wunstorf Air Base (ETNW), Germany
Fürstenfeldbruck Air Base (FEL), Germany
Holzdorf Air Base (ETSH), Germany
Lechfeld Air Base (ETSL), Germany
Heringsdorf Airport (HDF), Germany
Flugplatz Finsterwalde/Heinrichsruh (EDAS), Germany
Engels heliport (EBEN), Germany
Wipperfürth-Neye Airport (EDKN), Germany
Karlshöfen Airport (EDWK), Germany
Wershofen/Eifel Airfield (EDRV), Germany
Fuerstenwalde Airport (EDAL), Germany
Grefrath-Niershorst Airport (EDLF), Germany
Aschaffenburg Airport (EDFC), Germany
Krefeld-Egelsberg Airport (EDLK), Germany

